Number;Document;car_Т147ВТ 797;car_У994ВН 797;car_Х502ВН 797;car_Р749КВ 152;car_С449ТН 152;car_Р188РК 152;car_Р028ТН 152;car_Р692ТК 152;car_Т255ТН 152;car_Т297ТН 152;car_Т137АУ 152;car_Т103ЕМ 152;car_Р485ВК 152;car_С415КТ 152;car_О113ВМ 152;car_Н068ОР 152;car_А314РТ 152;car_В112КМ 152;car_В275НХ 152;car_В314КО 152;car_Р630КЕ 152;car_О751ЕУ 152;car_Т943НР 152;car_С086ХЕ 152;car_Р460РК 152;car_Р913ХС 152;car_Е597ТН 152;car_Т865ТВ 152;car_О489НУ 152;car_О655НХ 152;car_Р353ВВ 152;car_Р322ВВ 152;car_Р373ВВ 152;car_Р800ВК 152;car_С420ТН 152;car_С435ТН 152;car_М671КА 152;car_О477НУ 152;car_О470НУ 152;car_Р497ВТ 797;car_Т588НТ 152;car_М842ТУ 152;car_Н391НТ 152;car_Н976НН 152;car_С480ТН 152
57;Интерьер чист, незакрепленные предметы отсутствуют;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
58;Аптечка. Надежно установленный комплект первой помощи (убедитесь, что он полностью укомплектован);Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да
59;Треугольники безопасности на шоссе имеются;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
60;Противооткатные упоры;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Нет;Да;Да;Нет;Нет;Нет;Да;Да;Да;Нет;Нет;Нет;Да;Да;Да;Да;Нет;Да;Да;Нет;Нет;Нет;Да;Да;Нет;Да;Нет;Да;Да;Да;Нет;Нет;Да
61;Огнетушитель заряжен и проверен;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да
62;Тросы, запасная шина, домкрат, инструменты имеются;Да;Да;Да;Да;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Нет;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Нет;Нет;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да
63;Светоотражающий жилет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да
64;Передний видеорегистратор имеется и исправен;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да
65;Задний видеорегистратор имеется и исправен;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо
66;Камера заднего хода имеется и справна;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо
67;Звуковой сигнал при движении транспортного средства задним ходом имеется и работает;Да;Да;Да;Нет;Нет;Да;Да;Да;Да;Да;Да;Да;Нет;Нет;Нет;Нет;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо
68;ДУТ имеется и исправен;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Нет
